GeneNames,D1,D2,D3,D4,D5,L1,L2,L3,L4,L5,U1,U2,U3,U4,U5
C17orf78,0.060536873,0,0,0,0.056708433,0,0,0.113525746,0.107658224,0,0,0.051809081,0,0,0
C17orf80,5.435119788,5.120256691,6.685871406,7.742013761,6.696291036,6.752790796,8.35944919,8.752311422,7.48571671,6.673599472,4.165611528,6.29472194,5.84783225,3.336263826,2.50461293
C17orf82,0.589383834,0.717445088,0.19851607,0.422835616,0.483096543,0.534674752,0.273435406,0.898040591,0.786116133,0.456914492,0.580780913,0.378307881,0.267618011,0.3438444,0.19122855
C17orf85,8.594460743,9.321789279,7.595713842,6.969502745,5.625332394,10.69545499,13.85319191,12.30754197,13.75343025,11.50732544,4.885968458,5.009667233,3.414631205,4.66685585,2.955350322
C17orf89,8.051404158,11.76097484,30.91533293,22.71986374,21.87244248,10.22565463,10.83243659,12.64534904,17.00327081,11.94854709,28.56197562,20.84408871,22.11791179,14.09148033,19.85362127
C17orf96,3.455944925,2.209659772,2.163450138,3.272425535,3.498992838,5.541931127,5.117704797,5.237161701,5.835615886,3.61864634,0.947883373,1.0755238,2.092293804,1.629241041,0.875896642
C17orf97,5.516459619,3.402304848,2.202135847,2.22799191,2.468959962,1.112088595,1.251201167,1.954075022,1.199051524,1.140422794,1.449583682,1.678625509,1.335907201,2.002486963,0.583356263
C17orf98,0,0,0.178874904,0,0.186556717,0,0,0,0,0,0.174439497,0,0,0.185894676,0
C17orf99,0.10341253,0.100705595,0,0,0,0,0.09595325,0,0,0,0,0,0,0,0
C18orf21,13.60237224,11.78532468,14.10397667,12.15042718,11.61783194,9.980674443,16.98295906,15.09892423,12.18410252,10.36788734,10.86323127,13.78121568,10.99026673,8.589092771,7.788279021
C18orf25,6.641487638,6.065922735,6.947154316,8.089197381,8.829850584,4.752637286,5.301219562,4.796291392,5.612135574,4.45890258,4.787590143,6.231177299,5.001126888,4.043081638,6.941963785
C18orf32,0.409145765,0.531247906,0.306240761,0.456601074,0.702663108,0.742334275,0.822539358,0.575458092,0.363810551,0.483331897,0.119458869,0.058359655,0.309630639,0.572865988,0.235998937
C18orf42,0,0,0,0,0,0,0,0,0,0,0,0.04190639,0,0,0.042366012
C18orf54,3.568072,3.715060073,4.373835047,3.155483392,1.009033024,2.381846689,1.436719882,2.335628932,2.833492451,2.823276999,4.560222817,1.978151802,1.915629224,2.010904459,1.922183855
C18orf56,0.667770487,1.300581736,0.83969475,0.766514802,0.625539702,0.605785227,1.610968671,1.878420668,2.256358212,1.89324082,2.573602624,1.714487732,2.546968809,1.49596758,3.813242299
C18orf61,0.249287854,0.161841649,0.186589008,0,0.038920421,0.113073955,0.038551066,0.116873354,0.184721354,0.036811078,0.145569857,0.106673619,0.113192653,0,0.071895732
C18orf62,0,0,0.073954124,0.078760469,0,0,0,0,0,0,0.072120347,0.070466406,0,0,0
C18orf63,0.022254622,0,0,0,0.020847207,0,0,0,0,0,0,0,0,0,0
C18orf8,16.96365027,18.0976007,20.19406057,19.95647343,18.07287049,12.77058395,21.00238195,15.57373316,14.13843637,14.4015155,18.00786101,47.36751174,29.75266683,19.47401223,19.71561199
C19orf10,120.6561517,137.1330412,172.816644,136.7537284,178.2289384,44.85277627,60.00684388,72.4058783,59.69919992,53.68760809,183.2803096,213.2220248,212.1299247,153.669984,301.6735001
C19orf12,6.505149161,5.699264138,5.764667573,6.701222246,5.971471294,3.592104118,5.309190948,5.610003693,5.455472987,5.416528734,5.583612677,6.367927105,8.298172844,7.534313717,4.480085202
C19orf18,0.862336183,0.359898684,0.331944904,1.296233775,0.807800777,0.111755788,0.114304965,0.346532687,0,0.109145851,0,0,0,0,0
C19orf21,0.434905731,2.002102112,1.455970192,2.004427694,1.592570105,0.251068335,0.220110227,0.259504485,0.316404161,0.070058543,0.103892762,0.575224365,0.466759229,0.147620325,0.102623529
C19orf24,73.55115128,63.53116539,57.1260489,66.25999462,86.36054345,36.10398731,49.08089168,48.29968722,46.69925081,36.93458998,54.7167001,40.95869687,59.58836461,47.72944458,43.15141677
C19orf25,16.38105799,11.7210247,12.51522001,14.0451866,14.31585162,4.983704075,6.719278348,9.506234526,8.659642156,6.327509445,6.736749802,8.59112559,8.390482729,6.66634615,4.45070259
C19orf26,7.957198961,5.779574219,5.409640325,9.545959302,11.16036995,5.064969339,3.671222257,4.080949488,3.830936457,3.700274205,1.809843797,0.677236028,2.11594623,2.954594315,3.30920857
C19orf35,0.482457681,0.256270269,0.157576958,0.461499573,0.246516191,0.755982249,0.040696126,0.411254745,0.389999249,0.544030485,0.307339316,0.187681926,0.159321228,0.204701141,0.417428859
C19orf38,0,0.302394211,0,0.198022189,0,0.56339695,0.192082724,0.291163828,0.09203839,0.275119706,0,0.35433796,0.187996124,0,0.537336422
C19orf40,6.735445306,5.498100716,6.583476689,3.979410765,1.577371465,8.356642187,9.742037395,10.86644898,14.35629044,13.251438,9.630347828,7.883630409,9.444822826,6.934296119,3.513698581
C19orf43,229.2792169,268.2708517,175.6736328,140.1700068,145.8549613,139.0014811,152.0563779,146.8080017,147.8114295,128.182806,215.5845985,181.9120469,211.1395826,354.3826642,143.3961957
C19orf44,4.783679458,3.444636982,3.11657177,4.67254839,3.913119128,2.383744953,1.93799183,3.66417408,2.066902772,2.447463589,2.065538812,2.07583165,2.355654356,2.075397939,1.428213231
C19orf45,0.067134996,0,0,0.064218631,0.188667841,1.888000558,0.498339693,0.503597234,0.298480664,0.475847306,0.411631499,0.344735592,0.243868706,0.563994924,0.813205389
C19orf47,15.83000104,12.38144535,11.0135264,9.710326615,8.803181455,27.99176079,30.07576136,46.88542454,35.61442537,28.40663094,7.218979873,7.354487367,10.86161643,14.82317348,3.86975653
C19orf48,29.8872759,30.48775801,25.93332004,22.1855532,10.13471881,18.95457278,34.57022356,38.61230592,35.1736275,26.35999966,35.29977331,43.40214895,52.31795662,28.52897821,18.31182572
